site,name,url
gearvn,"Laptop ASUS Zenbook 14 UX3405CA-ST1531W (Ultra 9/ 16GB/ 512GB/ 14"" 3K OLED) 16 GB 512 GB Intel Arc Graphics 14 inch 120 Hz 42.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-14-ux3405ca-st1531w-ultra-9-16gb-512gb-14-3k-oled
gearvn,"Laptop ASUS Zenbook 14 UX3405CA-ST630W (Ultra 7-255H/ 16GB/ 512GB/ 14"" 3K OLED) 16 GB 512 GB Intel Arc Graphics 14 inch 120 Hz 40.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-14-ux3405ca-st630w-ultra-7-255h-16gb-512gb-14-3k-oled
gearvn,"Laptop ASUS Zenbook 14 UX3405CA-ST1713W (Ultra 5-225H/ 16GB/ 512GB/ 14"" 3K OLED) 16 GB 512 GB Intel Arc Graphics 14 inch 120 Hz 38.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-14-ux3405ca-st1713w-ultra-5-225h-16gb-512gb-14-3k-oled
gearvn,"Laptop ASUS Zenbook 14 UM3406GA-QD075W (Ryzen 7/ 16GB/ 512GB/ 14"" FHD OLED) 39.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-14-um3406ga-qd075w-ryzen-7-16gb-512gb-14-fhd-oled
gearvn,"Laptop ASUS Vivobook S 14 S3407QA-SF043W (QC X126100/ 16GB/ 512GB/ 14"" FHD OLED) 16 GB 512 GB Qualcomm Adreno GPU 14 inch 60 Hz 25.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-s-14-s3407qa-sf043w-qc-x126100-16gb-512gb-14-fhd-oled
gearvn,"Laptop ASUS Vivobook S 16 S3607AA-SH043W (Ultra 7-355/ 16GB/ 512GB/ 16"" FHD OLED) 16 GB 512 GB Intel Arc Graphics 16 inch 60 Hz 40.490.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/s3607aa-sh043w-nb-s3607-new-vivobook-s-dgw-40-490-000-laptop-asus-vivobook-s-16-s3607aa-sh043w-ultra-7-355-16gb-512gb-16-fhd-oled
gearvn,"Laptop ASUS Vivobook S 14 S3407AA-SF032W (Ultra 7-355/ 16GB/ 512GB/ 14"" FHD OLED) 16 GB 512 GB Intel Graphics 14 inch 60 Hz 40.490.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-s-14-s3407aa-sf032w-ultra-7-355-16gb-512gb-14-fhd-oled
gearvn,"Laptop ASUS Vivobook S 16 S3607CA-SH080W (Ultra 5-225H/ 16GB/ 512GB/ 16"" FHD OLED) 16 GB 512 GB Intel Arc Graphics 16 inch 60 Hz 35.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-s-16-s3607ca-sh080w-ultra-5-225h-16gb-512gb-16-fhd-oled
gearvn,"Laptop ASUS Vivobook S 16 S3607AA-SH042W (Ultra 5-325/ 16GB/ 512GB/ 16"" FHD OLED) 16 GB 512 GB Intel Arc Graphics 16 inch 60 Hz 37.490.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-s-16-s3607aa-sh042w-ultra-5-325-16gb-512gb-16-fhd-oled
gearvn,"Laptop ASUS Vivobook S 14 S3407AA-SF945W (Ultra 5-325/ 16GB/ 512GB/ 14"" FHD OLED) 16 GB 512 GB Intel Graphics 14 inch 60 Hz 37.490.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-s-14-s3407aa-sf945w-ultra-5-325-16gb-512gb-14-fhd-oled
gearvn,"Laptop ASUS Vivobook S 14 S3407VA-LY147W (Core 5-210H/ 16GB/ 512GB/ 14"" FHD IPS) 16 GB 512 GB Intel UHD Graphics 14 inch 60 Hz 34.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-s-14-s3407va-ly147w-core-5-210h-16gb-512gb-14-fhd-ips
